Threads,Nodes,Time,Diameter,DYNAMIC
1,5,0.017711,9
2,5,0.098183,9
3,5,0.098645,9
4,5,0.137337,9
5,5,0.144599,9
6,5,0.161536,9
7,5,0.174977,9
8,5,0.192991,9
12,5,0.378856,9
16,5,0.506020,9
24,5,0.719384,9
32,5,1.008699,9
64,5,1.872945,9
128,5,4.078367,9
256,5,7.072031,9
512,5,14.430038,9
1024,5,27.147483,9
1,10,0.027340,10
2,10,0.103459,10
3,10,0.120955,10
4,10,0.142983,10
5,10,0.156202,10
6,10,0.168696,10
7,10,0.196174,10
8,10,0.207539,10
12,10,0.548391,10
16,10,0.672672,10
24,10,1.044722,10
32,10,1.331834,10
64,10,2.584590,10
128,10,5.211524,10
256,10,9.943216,10
512,10,21.022834,10
1024,10,41.424402,10
1,20,0.093001,11
2,20,0.158020,11
3,20,0.163250,11
4,20,0.184850,11
5,20,0.201379,11
6,20,0.216715,11
7,20,0.698006,11
8,20,0.254434,11
12,20,0.870805,11
16,20,1.130388,11
24,20,1.618775,11
32,20,2.197352,11
64,20,4.295918,11
128,20,8.473609,11
256,20,15.872697,11
512,20,33.479826,11
1024,20,66.696434,11
1,50,0.817284,17
2,50,0.644099,17
3,50,0.517254,17
4,50,0.474140,17
5,50,0.465469,17
6,50,0.455671,17
7,50,0.467100,17
8,50,0.471263,17
12,50,1.781643,17
16,50,2.441121,17
24,50,3.659322,17
32,50,4.724918,17
64,50,9.748946,17
128,50,18.283454,17
256,50,38.117723,17
512,50,66.255487,17
1024,50,134.517909,17
1,100,5.612580,16
2,100,3.497355,16
3,100,2.510196,16
4,100,2.044289,16
5,100,1.778427,16
6,100,1.566218,16
7,100,1.458765,16
8,100,1.366750,16
12,100,4.125523,16
16,100,4.772910,16
24,100,6.802585,16
32,100,10.046053,16
64,100,18.897962,16
128,100,36.286732,16
256,100,66.765850,16
512,100,168.972862,16
1024,100,265.045402,16
1,200,40.308430,16
2,200,22.554054,16
3,200,15.350194,16
4,200,11.893617,16
5,200,9.776968,16
6,200,8.222128,16
7,200,7.291371,16
8,200,6.504141,16
12,200,12.401579,16
16,200,13.508394,16
24,200,16.476494,16
32,200,20.927676,16
64,200,40.493181,16
128,200,80.636583,16
256,200,156.012578,16
512,200,267.989851,16
